"lang_id","language","rec_id","recommendation","rec_part","rec_text"
1,"english",2,"Land preparation",1,"You're currently doing a good job,"
1,"english",2,"Land preparation",2,"don't plough and"
1,"english",2,"Land preparation",3,"for best results, plough manually and"
1,"english",2,"Land preparation",4,"for best results, use a tractor to plough and"
1,"english",2,"Land preparation",5,"don't ridge."
1,"english",2,"Land preparation",6,"ridge manually."
1,"english",2,"Land preparation",7,"ridge using a tractor."
1,"english",2,"Land preparation",8,"Changing your current practice won't lead to more income."
1,"english",2,"Land preparation",9,"For best results, I recommend "
1,"english",2,"Land preparation",10,"ploughing then "
1,"english",2,"Land preparation",11,"ridging"
1,"english",2,"Land preparation",12,"ploughing, but don't ridge. Plant on a flat piece of land."
1,"english",2,"Land preparation",13,"For best results, directly ridge your land"
1,"english",2,"Land preparation",14,"manually"
1,"english",2,"Land preparation",15,"using a tractor"
1,"english",2,"Land preparation",16,"don't plough."
1,"english",2,"Land preparation",17,"For best results, don't plough and don't ridge. Ensure you plant on a flat piece of land."
1,"english",2,"Land preparation",18,"The cost of preparing your farm will not change."
1,"english",2,"Land preparation",19,"This will"
1,"english",2,"Land preparation",20,"cost by"
1,"english",2,"Land preparation",21,"Your harvest and income will also not change"
1,"english",2,"Land preparation",22,"Your current harvest won't change, however your income will go up by "
1,"english",2,"Land preparation",23,"Your harvest will"
1,"english",2,"Land preparation",24,"decrease"
1,"english",2,"Land preparation",25,"increase"
1,"english",2,"Land preparation",26,"by"
1,"english",2,"Land preparation",27,"tonnes"
1,"english",2,"Land preparation",28,"your income won't change"
1,"english",2,"Land preparation",29,"but"
1,"english",2,"Land preparation",30,"and"
1,"english",2,"Land preparation",31,"Your current income will increase by"
2,"kiswahili",2,"Land preparation",1,"Unafanya kazi nzuri kwa sasa"
2,"kiswahili",2,"Land preparation",2,"Usilime na"
2,"kiswahili",2,"Land preparation",3,"Kwa matokeo bora, lima kwa mkono na"
2,"kiswahili",2,"Land preparation",4,"Kwa matokeo bora, lima kwa trekta na"
2,"kiswahili",2,"Land preparation",5,"usiweke matuta."
2,"kiswahili",2,"Land preparation",6,"uweke matuta kwa mkono."
2,"kiswahili",2,"Land preparation",7,"uweke matuta kwa kutumia trekta."
2,"kiswahili",2,"Land preparation",8,"Kubadilisha matendo yako ya sasa hakutaleta mapato mengi."
2,"kiswahili",2,"Land preparation",9,"Kwa matokeo bora, napendekeza kulima kwa"
2,"kiswahili",2,"Land preparation",10,"kisha kuweka matuta kwa"
2,"kiswahili",2,"Land preparation",11," "
2,"kiswahili",2,"Land preparation",12," ila usiweke matuta. Panda kwenye ardhi tambarare."
2,"kiswahili",2,"Land preparation",13,"Kwa matokeo bora, weka matuta moja kwa moja shambani mwako"
2,"kiswahili",2,"Land preparation",14,"kwa mkono"
2,"kiswahili",2,"Land preparation",15,"kwa trekta"
2,"kiswahili",2,"Land preparation",16,"usilime."
2,"kiswahili",2,"Land preparation",17,"Kwa matokeo bora, usilime wala usiweke matuta. Hakikisha umepanda kwenye ardhi tambarare."
2,"kiswahili",2,"Land preparation",18,"Gharama ya kuandaa shamba lako haitabadilika."
2,"kiswahili",2,"Land preparation",19,"Hii"
2,"kiswahili",2,"Land preparation",20,"gharama kwa"
2,"kiswahili",2,"Land preparation",21,"Mavuno yako na mapato yako pia hayatabadilika"
2,"kiswahili",2,"Land preparation",22,"Mavuno yako ya sasa hayatabadilika, hata hivyo mapato yako yataongezeka kwa"
2,"kiswahili",2,"Land preparation",23,"Mavuno yako"
2,"kiswahili",2,"Land preparation",24,"yatapungua"
2,"kiswahili",2,"Land preparation",25,"yataongezeka"
2,"kiswahili",2,"Land preparation",26,"kwa"
2,"kiswahili",2,"Land preparation",27,"tani"
2,"kiswahili",2,"Land preparation",28,"mapato yako hayatabadilika."
2,"kiswahili",2,"Land preparation",29," lakini "
2,"kiswahili",2,"Land preparation",30,"na"
2,"kiswahili",2,"Land preparation",31,"Mapato yako ya sasa yataongezeka kwa "
3,"pidgin",2,"Land preparation",1,"You dey do good job now"
3,"pidgin",2,"Land preparation",2,"no mix una soil and"
3,"pidgin",2,"Land preparation",3,"for best results, make una use hand mix una soil and use"
3,"pidgin",2,"Land preparation",4,"for best results, make una use tractor mix una soil and use"
3,"pidgin",2,"Land preparation",5,"no ridge."
3,"pidgin",2,"Land preparation",6,"hand ridge."
3,"pidgin",2,"Land preparation",7,"tractor ridge."
3,"pidgin",2,"Land preparation",8,"To change una practice for now no go bring more income."
3,"pidgin",2,"Land preparation",9,"For best results, I recommend say make una mix una soil well-well with"
3,"pidgin",2,"Land preparation",10,"then come use"
3,"pidgin",2,"Land preparation",11,"ridge am."
3,"pidgin",2,"Land preparation",12,"but make una no ridge. Plant for di land wey dey flat."
3,"pidgin",2,"Land preparation",13,"For best results, ridge una land directly with"
3,"pidgin",2,"Land preparation",14,"use hand ridge"
3,"pidgin",2,"Land preparation",15,"use tractor ridge."
3,"pidgin",2,"Land preparation",16," no mix una soil."
3,"pidgin",2,"Land preparation",17,"For best results, don't plough and don't ridge. Ensure you plant on a flat piece of land."
3,"pidgin",2,"Land preparation",18,"Di cost to prepare una farm no go change."
3,"pidgin",2,"Land preparation",19,"Dis go"
3,"pidgin",2,"Land preparation",20,"cost by"
3,"pidgin",2,"Land preparation",21,"Una harvest and income no go also change"
3,"pidgin",2,"Land preparation",22,"Una harvest for now no go change, however una income go go up by"
3,"pidgin",2,"Land preparation",23,"Una harvest go "
3,"pidgin",2,"Land preparation",24,"decrease"
3,"pidgin",2,"Land preparation",25,"increase"
3,"pidgin",2,"Land preparation",26,"by"
3,"pidgin",2,"Land preparation",27,"tonnes"
3,"pidgin",2,"Land preparation",28,"but una income no go change."
3,"pidgin",2,"Land preparation",29,"but"
3,"pidgin",2,"Land preparation",30,"and"
3,"pidgin",2,"Land preparation",31,"Una income for now go increase by"
4,"yoruba",2,"Land preparation",1,"Ìwọ ń ṣe dáadáa bayìí. "
4,"yoruba",2,"Land preparation",2,"máṣe yí erùpẹ̀ inú oko rẹ po, kí o sì"
4,"yoruba",2,"Land preparation",3,"Fún àwọn àbájáde tó dára jùlọ, lo ọwọ́ láti fi yí erùpẹ̀ inú oko rẹ po, kí o sì"
4,"yoruba",2,"Land preparation",4,"Fún àwọn àbájáde tó dára jùlọ, lo ọkọ̀ ìdáko láti fi yí erùpẹ̀ inú oko rẹ po, kí o sì "
4,"yoruba",2,"Land preparation",5,"máṣe kọ ebè."
4,"yoruba",2,"Land preparation",6,"fi ọwọ́ kọ ebè."
4,"yoruba",2,"Land preparation",7,"fi ọkọ̀ ìdáko kọ ebè."
4,"yoruba",2,"Land preparation",8,"Yíyí ìlànà tí ìwọ ń lò ní báyìí padà kì yóò mú kí iye owó tó ń wọlé fún ọ pọ̀ síi."
4,"yoruba",2,"Land preparation",9,"Fún àwọn àbájáde tó dára jùlọ, èmi dámọ̀ràn lílo"
4,"yoruba",2,"Land preparation",10," láti fi yí erùpẹ̀ inú oko rẹ po, lẹ́yìn náà, lílo"
4,"yoruba",2,"Land preparation",11,"láti fi kọ ebè. "
4,"yoruba",2,"Land preparation",12,"láti fi yí erùpẹ̀ inú oko rẹ po, ṣùgbọ́n kí o máṣe kọ ebè. Gbin ohun ọ̀gbìn sórí ilẹ̀ tó tẹ́jú."
4,"yoruba",2,"Land preparation",13,"Fún àwọn àbájáde tó dára jùlọ, kọ ebè tààrà sórí ilẹ̀ rẹ "
4,"yoruba",2,"Land preparation",14," pẹ̀lú ọwọ́"
4,"yoruba",2,"Land preparation",15,"nípasẹ̀ ọkọ̀ ìdáko"
4,"yoruba",2,"Land preparation",16," máṣe yí erùpẹ̀ inú oko rẹ po."
4,"yoruba",2,"Land preparation",17,"Fún àwọn àbájáde tó dára jùlọ, máṣe yí erùpẹ̀ inú oko rẹ po, má sì ṣe kọ ebè. Ríi dájú pé o gbin irúgbìn rẹ sórí ilẹ̀ tó tẹ́jú."
4,"yoruba",2,"Land preparation",18,"Iye owó tí ìwọ yóò fi ṣe ìpalẹ̀mọ́ oko rẹ kì yóò yípadà."
4,"yoruba",2,"Land preparation",19,"Èyí yóò mú iye owó"
4,"yoruba",2,"Land preparation",20,"ẹ̀lú iye tó tó"
4,"yoruba",2,"Land preparation",21,"kórè rẹ àti iye owó tí yóò wọlé fún ọ náà kì yóò yípadà"
4,"yoruba",2,"Land preparation",22,"Ìkórè rẹ ní báyìí kì yóò yípadà, ṣùgbọ́n iye owó tó ń wọlé fún ọ yóò lọ sókè síi pẹ̀lú iye tó tó"
4,"yoruba",2,"Land preparation",23,"Ìkórè rẹ yóò "
4,"yoruba",2,"Land preparation",24,"pọ̀ síi"
4,"yoruba",2,"Land preparation",25,"dín kù"
4,"yoruba",2,"Land preparation",26,"pẹ̀lú tóònù "
4,"yoruba",2,"Land preparation",27,"ṣùgbọ́n"
4,"yoruba",2,"Land preparation",28,"iye owó tó ń wọle fún ọ kì yóò yípada."
4,"yoruba",2,"Land preparation",29,"ṣugbọn"
4,"yoruba",2,"Land preparation",30,"ati"
4,"yoruba",2,"Land preparation",31," Iye owó tó ń wọle fún ọ ní báyìí yóò pọ̀ síi pẹ̀lú"
